<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
49803.HK,D,20231214,000000,0.97,0.97,0.97,0.97,0,0
49803.HK,D,20231215,000000,0.97,0.97,0.97,0.97,0,0
49803.HK,D,20231220,000000,0.96,0.96,0.96,0.96,2500,0
49803.HK,D,20231221,000000,0.96,0.96,0.96,0.96,0,0
49803.HK,D,20231222,000000,0.96,0.96,0.96,0.96,0,0
49803.HK,D,20231227,000000,0.96,0.96,0.96,0.96,0,0
49803.HK,D,20231228,000000,0.97,0.97,0.97,0.97,0,0
49803.HK,D,20231229,000000,0.97,0.97,0.97,0.97,0,0
49803.HK,D,20240102,000000,0.97,0.97,0.97,0.97,0,0
49803.HK,D,20240103,000000,0.97,0.97,0.97,0.97,0,0
49803.HK,D,20240104,000000,0.97,0.97,0.97,0.97,0,0
49803.HK,D,20240105,000000,0.97,0.97,0.97,0.97,0,0
49803.HK,D,20240110,000000,0.95,0.95,0.95,0.95,0,0
49803.HK,D,20240111,000000,0.95,0.95,0.95,0.95,0,0
49803.HK,D,20240112,000000,0.95,0.95,0.95,0.95,0,0
49803.HK,D,20240115,000000,0.95,0.95,0.95,0.95,0,0
49803.HK,D,20240117,000000,0.94,0.94,0.94,0.94,0,0
49803.HK,D,20240118,000000,0.94,0.94,0.94,0.94,0,0
49803.HK,D,20240119,000000,0.94,0.94,0.94,0.94,0,0
49803.HK,D,20240123,000000,0.92,0.92,0.92,0.92,0,0
49803.HK,D,20240124,000000,0.95,0.95,0.95,0.95,2500,0
49803.HK,D,20240125,000000,0.98,0.98,0.98,0.98,0,0
49803.HK,D,20240126,000000,0.98,0.98,0.98,0.98,0,0
49803.HK,D,20240129,000000,0.98,0.98,0.98,0.98,0,0
49803.HK,D,20240130,000000,0.97,0.97,0.97,0.97,0,0
49803.HK,D,20240131,000000,0.97,0.97,0.97,0.97,0,0
49803.HK,D,20240201,000000,0.96,0.96,0.96,0.96,0,0
49803.HK,D,20240202,000000,0.95,0.95,0.95,0.95,0,0
49803.HK,D,20240206,000000,0.96,0.96,0.96,0.96,0,0
49803.HK,D,20240207,000000,0.98,0.98,0.98,0.98,0,0
49803.HK,D,20240208,000000,0.99,0.99,0.98,0.98,5000,0
49803.HK,D,20240209,000000,0.98,0.98,0.98,0.98,0,0
49803.HK,D,20240214,000000,0.98,0.98,0.98,0.98,0,0
49803.HK,D,20240215,000000,0.98,0.98,0.98,0.98,0,0
49803.HK,D,20240216,000000,0.99,0.99,0.99,0.99,0,0
49803.HK,D,20240219,000000,0.99,0.99,0.99,0.99,0,0
49803.HK,D,20240220,000000,1,1,1,1,0,0
49803.HK,D,20240221,000000,1.01,1.01,1.01,1.01,0,0
49803.HK,D,20240222,000000,1.01,1.02,1.01,1.02,5000,0
49803.HK,D,20240223,000000,1.02,1.02,1.02,1.02,0,0
49803.HK,D,20240226,000000,1.01,1.01,1.01,1.01,0,0
49803.HK,D,20240227,000000,1.01,1.01,1.01,1.01,0,0
49803.HK,D,20240228,000000,1.01,1.01,1.01,1.01,0,0
49803.HK,D,20240229,000000,1.01,1.01,1.01,1.01,0,0
49803.HK,D,20240301,000000,1.01,1.01,1.01,1.01,0,0
49803.HK,D,20240304,000000,1.01,1.01,1.01,1.01,0,0
49803.HK,D,20240305,000000,1.02,1.02,1.02,1.02,0,0
49803.HK,D,20240306,000000,1.02,1.02,1.02,1.02,0,0
49803.HK,D,20240307,000000,1.02,1.02,1.02,1.02,0,0
49803.HK,D,20240308,000000,1.02,1.02,1.02,1.02,0,0
49803.HK,D,20240311,000000,1.03,1.03,1.03,1.03,0,0
49803.HK,D,20240312,000000,1.03,1.03,1.03,1.03,0,0
49803.HK,D,20240313,000000,1.02,1.02,1.02,1.02,0,0
49803.HK,D,20240314,000000,1.01,1.02,1.01,1.02,36000,0
49803.HK,D,20240315,000000,1.02,1.02,1.02,1.02,0,0
49803.HK,D,20240318,000000,1.02,1.02,1.02,1.02,0,0
49803.HK,D,20240319,000000,1.02,1.02,1.02,1.02,0,0
49803.HK,D,20240320,000000,1.01,1.02,1.01,1.02,10000,0
49803.HK,D,20240321,000000,1.02,1.02,1.02,1.02,10000,0
49803.HK,D,20240325,000000,1,1.01,1,1.01,10000,0
49803.HK,D,20240326,000000,1.01,1.01,1.01,1.01,10000,0
49803.HK,D,20240327,000000,1.01,1.01,1.01,1.01,10000,0
49803.HK,D,20240328,000000,1,1,1,1,10000,0
49803.HK,D,20240402,000000,1.02,1.02,1.02,1.02,0,0
49803.HK,D,20240403,000000,1.03,1.03,1.03,1.03,4000,0
49803.HK,D,20240405,000000,1.03,1.03,1.03,1.03,0,0
49803.HK,D,20240408,000000,1.03,1.03,1.03,1.03,0,0
49803.HK,D,20240409,000000,1.03,1.03,1.03,1.03,5000,0
49803.HK,D,20240416,000000,1.03,1.03,1.03,1.03,0,0
49803.HK,D,20240417,000000,1.04,1.04,1.04,1.04,0,0
49803.HK,D,20240418,000000,1.04,1.04,1.04,1.04,0,0
49803.HK,D,20240419,000000,1.05,1.05,1.05,1.05,0,0
49803.HK,D,20240422,000000,1.04,1.04,1.04,1.04,0,0
49803.HK,D,20240423,000000,1.03,1.03,1.03,1.03,0,0
49803.HK,D,20240424,000000,1.03,1.03,1.03,1.03,0,0
49803.HK,D,20240425,000000,1.03,1.03,1.03,1.03,0,0
49803.HK,D,20240426,000000,1.04,1.04,1.04,1.04,0,0
49803.HK,D,20240429,000000,1.04,1.04,1.04,1.04,0,0
49803.HK,D,20240430,000000,1.05,1.05,1.05,1.05,0,0
49803.HK,D,20240502,000000,1.06,1.06,1.06,1.06,0,0
49803.HK,D,20240503,000000,1.07,1.07,1.07,1.07,0,0
49803.HK,D,20240506,000000,1.07,1.07,1.07,1.07,0,0
49803.HK,D,20240507,000000,1.07,1.07,1.07,1.07,0,0
49803.HK,D,20240508,000000,1.06,1.06,1.06,1.06,0,0
49803.HK,D,20240509,000000,1.06,1.06,1.06,1.06,0,0
49803.HK,D,20240510,000000,1.07,1.07,1.07,1.07,0,0
49803.HK,D,20240513,000000,1.07,1.07,1.07,1.07,0,0
49803.HK,D,20240514,000000,1.07,1.07,1.07,1.07,0,0
49803.HK,D,20240516,000000,1.08,1.08,1.08,1.08,1500,0
49803.HK,D,20240517,000000,1.08,1.08,1.08,1.08,0,0
49803.HK,D,20240520,000000,1.08,1.08,1.08,1.08,0,0
49803.HK,D,20240521,000000,1.08,1.08,1.08,1.08,0,0
49803.HK,D,20240522,000000,1.08,1.08,1.08,1.08,0,0
49803.HK,D,20240524,000000,1.06,1.06,1.06,1.06,0,0
49803.HK,D,20240527,000000,1.07,1.07,1.07,1.07,0,0
49803.HK,D,20240528,000000,1.07,1.07,1.07,1.07,0,0
49803.HK,D,20240529,000000,1.07,1.07,1.07,1.07,0,0
49803.HK,D,20240530,000000,1.06,1.06,1.06,1.06,0,0
49803.HK,D,20240604,000000,1.05,1.05,1.05,1.05,0,0
49803.HK,D,20240606,000000,1.05,1.05,1.05,1.05,1000,0
49803.HK,D,20240607,000000,1.05,1.05,1.05,1.05,10000,0
49803.HK,D,20240618,000000,1.03,1.03,1.03,1.03,2000,0
49803.HK,D,20240619,000000,1.03,1.03,1.03,1.03,0,0
49803.HK,D,20240624,000000,1.01,1.01,1.01,1.01,0,0
49803.HK,D,20240625,000000,1.01,1.01,1.01,1.01,0,0
49803.HK,D,20240626,000000,1.01,1.01,1.01,1.01,0,0
49803.HK,D,20240702,000000,1.03,1.03,1.03,1.03,0,0
49803.HK,D,20240703,000000,1.03,1.03,1.03,1.03,0,0
49803.HK,D,20240704,000000,1.02,1.02,1.02,1.02,0,0
49803.HK,D,20240705,000000,1.02,1.02,1.02,1.02,0,0
49803.HK,D,20240708,000000,1.01,1.01,1.01,1.01,0,0
49803.HK,D,20240709,000000,1.02,1.02,1.02,1.02,0,0
